VARIABLES = X, Y, Z, VX, VY, VZ, PRESS, OBST
ZONE I= 128, J= 128, K= 128 F=POINT
83 3 32 0.002593 -0.000096 0.004812 0.033302 0
84 3 32 0.002443 -0.000094 0.004565 0.033311 0
85 3 32 0.002303 -0.000092 0.004329 0.033320 0
86 3 32 0.002173 -0.000090 0.004104 0.033328 0
87 3 32 0.002055 -0.000087 0.003888 0.033336 0
88 3 32 0.001946 -0.000084 0.003682 0.033343 0
89 3 32 0.001849 -0.000081 0.003483 0.033350 0
90 3 32 0.001762 -0.000077 0.003292 0.033356 0
91 3 32 0.001684 -0.000073 0.003108 0.033362 0
92 3 32 0.001616 -0.000069 0.002930 0.033367 0
93 3 32 0.001557 -0.000065 0.002757 0.033372 0
94 3 32 0.001506 -0.000061 0.002589 0.033376 0
95 3 32 0.001462 -0.000057 0.002426 0.033380 0
96 3 32 0.001425 -0.000054 0.002266 0.033383 0
97 3 32 0.001394 -0.000050 0.002110 0.033386 0
98 3 32 0.001367 -0.000047 0.001957 0.033389 0
99 3 32 0.001346 -0.000044 0.001807 0.033392 0
100 3 32 0.001328 -0.000041 0.001658 0.033394 0
101 3 32 0.001313 -0.000039 0.001512 0.033396 0
102 3 32 0.001302 -0.000036 0.001366 0.033398 0
103 3 32 0.001292 -0.000034 0.001222 0.033400 0
104 3 32 0.001284 -0.000032 0.001078 0.033402 0
105 3 32 0.001278 -0.000031 0.000934 0.033404 0
106 3 32 0.001273 -0.000029 0.000791 0.033405 0
107 3 32 0.001270 -0.000028 0.000646 0.033407 0
108 3 32 0.001266 -0.000027 0.000501 0.033408 0
109 3 32 0.001264 -0.000026 0.000354 0.033409 0
110 3 32 0.001262 -0.000026 0.000206 0.033411 0
111 3 32 0.001259 -0.000025 0.000056 0.033412 0
112 3 32 0.001257 -0.000025 -0.000096 0.033413 0
113 3 32 0.001254 -0.000025 -0.000250 0.033414 0
114 3 32 0.001251 -0.000025 -0.000407 0.033415 0
115 3 32 0.001246 -0.000026 -0.000567 0.033416 0
116 3 32 0.001241 -0.000026 -0.000730 0.033416 0
117 3 32 0.001235 -0.000027 -0.000897 0.033417 0
118 3 32 0.001228 -0.000027 -0.001068 0.033418 0
119 3 32 0.001221 -0.000028 -0.001243 0.033419 0
120 3 32 0.001212 -0.000029 -0.001424 0.033420 0
121 3 32 0.001203 -0.000029 -0.001609 0.033421 0
122 3 32 0.001194 -0.000030 -0.001800 0.033423 0
123 3 32 0.001185 -0.000031 -0.001997 0.033424 0
124 3 32 0.001177 -0.000032 -0.002200 0.033426 0
125 3 32 0.001169 -0.000033 -0.002410 0.033427 0
126 3 32 0.001163 -0.000034 -0.002627 0.033429 0
127 3 32 0.001159 -0.000035 -0.002852 0.033431 0
128 3 32 0.001158 -0.000037 -0.003084 0.033434 0
1 4 32 0.013265 -0.000051 -0.004170 0.033436 0
2 4 32 0.013278 -0.000053 -0.004483 0.033439 0
3 4 32 0.013299 -0.000055 -0.004807 0.033442 0
4 4 32 0.013324 -0.000056 -0.005142 0.033444 0
5 4 32 0.013356 -0.000059 -0.005489 0.033447 0
6 4 32 0.013401 -0.000061 -0.005850 0.033450 0
7 4 32 0.013457 -0.000062 -0.006223 0.033452 0
8 4 32 0.013518 -0.000065 -0.006607 0.033455 0
9 4 32 0.013597 -0.000068 -0.007008 0.033457 0
10 4 32 0.013696 -0.000070 -0.007424 0.033459 0
11 4 32 0.013805 -0.000072 -0.007851 0.033462 0
12 4 32 0.013927 -0.000078 -0.008293 0.033464 0
13 4 32 0.014085 -0.000081 -0.008755 0.033465 0
14 4 32 0.014266 -0.000081 -0.009230 0.033466 0
15 4 32 0.014450 -0.000088 -0.009716 0.033468 0
16 4 32 0.014677 -0.000095 -0.010226 0.033468 0
17 4 32 0.014960 -0.000095 -0.010753 0.033468 0
18 4 32 0.015248 -0.000097 -0.011286 0.033469 0
